Key,english
exterminator_subtitle_shocker_robot,Shocker Robot Exterminator
exterminator_name_spider_bot,Spider Bot Exterminator
exterminator_subtitle_spider_bot,Spider Bot Exterminator
exterminator_name_robot_dog,Robot Dog Exterminator
exterminator_subtitle_robot_dog,Robot Dog Exterminator
exterminator_name_drone,Drone Exterminator
exterminator_subtitle_drone,Drone Exterminator
exterminator_name_droid,Droid Exterminator
exterminator_subtitle_droid,Droid Exterminator
exterminator_name_mech,Mech Exterminator
exterminator_subtitle_mech,Mech Exterminator
challengeObjectiveOpen,Open
challengeKillRewardReading,20000 XP and various reading materials
challengeKillRewardReadingHardcore,50000 XP and various reading materials
challengeGroupExterminator,Exterminator
challengeRewardBonusExterminatorReward,Exterminator Reward
challengeGroupBasics,Basics
challengeRewardBonusTraderQuest,Basics Reward
challengeKillRobotAnimals,Kill Robotic Animals
challengeKillRobotAnimalsShort,Kill robotic animals to harvest nano chips and other resources.
challengeKillRobotAnimalsDesc,Killing [DECEA3]Robotic Animals[-] may require using [DECEA3]Stealth[-].\n\nAttacks while crouched on sleeping or un-alerted enemies apply a [DECEA3]Stealth Damage Bonus[-].\n\nThe [DECEA3]Stealth Damage Bonus[-] has a default cooldown of [DECEA3]10[-] seconds in PvE and [DECEA3]60[-] seconds in PvP.
challengeSalvageRobots,Salvage Robots
challengeSalvageRobotsShort,Harvest resources from a destroyed Robot with a Salvage Tool.
challengeSalvageRobotsDesc,Use a [DECEA3]Wrench[-] or other salvage tool to harvest resources.\n\n[DECEA3]Perks[-] can increase your harvest yield.\n\nTough [DECEA3]Enemies[-] will yield higher amounts and [DECEA3]Rare[-] resources.
challengeMeetRekt,Meet Luna
challengeMeetRektShort,Meet Trader Luna.
challengeMeetRektDesc,"Talk to [DECEA3]Trader Luna[-] at her place of business in the [DECEA3]Pine Forest[-] biome. She normally has a stockpile of [DECEA3]Food[-] and [DECEA3]Farming[-] supplies for sale."
challengeMeetJenDesc,You can find [DECEA3]Trader Jen[-] in the makeshift hospital at [DECEA3]Jen's Clinic[-] in the [DECEA3]Burnt Forest[-]. She may come across as friendly at first but I would watch your back around here. She deals mostly in [DECEA3]Medical[-] supplies.
challengeKillEnemies,Kill Enemies
challengeKillEnemiesShort,Kill some enemies.
challengeKillEnemiesDesc,"[DECEA3]Zombies[-] and [DECEA3]Robots[-] are the primary threat to your survival.\n\n[DECEA3]Normal[-] zombies and robots walk during the day but move faster at night.\n\n[FF6666]Feral[-] zombies and [FFEA00]Overcharged[-] robots run during the day, hit harder, and take more damage.\n\n[00FF00]Radiated[-] zombies and robots regenerate their health and deal severe damage, making them a stubborn threat until eliminated.\n\n[FFA500]Inferno[-] and [33CCFF]Shocker[-] robots are tough, run during the day and have a chance to electrocute the target or set them on fire depending on the type."
challengePurchaseItemsJoelDesc,"[DECEA3]Traders[-] have a wide stock of [DECEA3]Items[-] available for sale in many [DECEA3]Categories[-]. As you progress, your [DECEA3]Trader Stage[-] will increase and [DECEA3]Traders[-] will stock more [DECEA3]Items[-] as well as offering new, higher [DECEA3]Quality[-] items for sale.\n\nEach [DECEA3]Trader[-] also [DECEA3]Specializes[-] in specific [DECEA3]Categories[-]. For instance, [DECEA3]Trader Luna[-] has a [DECEA3]Specialization[-] in [DECEA3]Food[-] and [DECEA3]Seeds[-] which means she has more [DECEA3]Meals[-] for sale, while [DECEA3]Trader Jen[-] is [DECEA3]Specialized[-] in [DECEA3]Medical[-] supplies and stocks more [DECEA3]Bandages[-].\n\nPrices at [DECEA3]Traders[-] are based on your [DECEA3]Barter[-] statistic, which can be modified by items like [DECEA3]Consumables[-] and some [DECEA3]Armor[-]."
challengeQuestTraderToTraderCompleteDesc,"After completing [DECEA3]10[-] quests with a [DECEA3]Trader[-], a new category of [DECEA3]Special Jobs[-] will unlock.\n\nThis will enable an [DECEA3]Opening Trade Routes[-] quest, which allows you to find the next [DECEA3]Trader[-] to advance your [DECEA3]Progression[-]. The order is as follows:\n\n[DECEA3]Trader Luna[-] to [DECEA3]Trader Jen[-].\n\n[DECEA3]Trader Jen[-] to [DECEA3]Trader Bob[-].\n\n[DECEA3]Trader Bob[-] to [DECEA3]Trader Hugh[-].\n\n[DECEA3]Trader Hugh[-] to [DECEA3]Trader Joel[-]."
challengeHarvestLeatherDesc,"[DECEA3]Leather[-] is an ingredient used primarily in [DECEA3]Armor[-] and [DECEA3]Armor Modification[-] recipes.\n\nIt can be harvested from furniture such as [DECEA3]Office Chairs[-], [DECEA3]Leather Couches[-], and [DECEA3]Leather Restaurant Booths[-]."
challengeHarvestRottingFleshDesc,"[DECEA3]Rotting Flesh[-] is a component used to make [DECEA3]Farm Plots[-] and some [DECEA3]Food[-] items.\n\nIt can be harvested from things like [DECEA3]Corpses[-] and [DECEA3]Body Bags[-].\n\nHarvest some [DECEA3]Rotting Flesh[-] with any [DECEA3]Knife[-]."
challengeHealerInfectionDesc,"Attacks from [DECEA3]Zombies[-] have a chance to cause an [DECEA3]Infection[-]. Wearing [DECEA3]Armor[-] reduces the chance of [DECEA3]Infection[-] and other [DECEA3]Critical Injuries.[-]\n\n[DECEA3]Honey[-], [DECEA3]Herbal Antibiotics[-], and [DECEA3]Antibiotics[-] are used to treat an [DECEA3]Infection[-]. Use one from your toolbelt by selecting it and pressing [action:local:Primary].\n\nTo use one from your inventory, select it and press the [DECEA3]Use[-] Quick Action [action:local:Left]."
challengeEnterDesertDesc,"The [DECEA3]Desert[-] has always been a dry, lifeless place in Navezgane County.\n\nAfter the apocalypse, its abundant resources draw human scavengers searching for [DECEA3]Oil Shale[-] and [DECEA3]Yucca Fruit[-]. Watch out for [DECEA3]Nano Drones[-] that patrol high above, waiting to strike at any moment."
challengeEnterSnowDesc,The [DECEA3]Snow[-] biome is a frigid part of the world that is home to merciless [DECEA3]Robot Dogs[-] and [DECEA3]Spider Bots[-] that hunt their prey with infrared systems.\n\n[DECEA3]Combat Dogs[-] with high-tech laser weapons also patrol the [DECEA3]Snow[-] during the night searching for signs of life to exterminate.
challengeEnterWastelandDesc,"Once densely populated, the [DECEA3]Wasteland[-] has long since been reduced to rubble and twisted metal beams, with its many residents now deadly [DECEA3]Feral[-] and [DECEA3]Radiated Zombies[-].\n\nMany survivors who enter never return, falling victim to the heavy duty [DECEA3]Mechs[-] and [DECEA3]Droids[-] that prowl the ruined wastes with one goal in mind. Kill on sight. \n\nExplosions can be heard at varying distances as both friend and foe trip haphazardly hidden [DECEA3]Landmines[-] in the destroyed debris."
challengeKillAnyZombiesDesc,"[DECEA3]Zombies[-] are a constant threat to your day-to-day survival.\n\nNot only a direct danger, they can destroy [DECEA3]Blocks[-] and cause you to become [DECEA3]Infected[-].\n\nAs your [DECEA3]Gamestage[-] increases, stronger, faster, and more challenging [DECEA3]Zombies[-] will appear.\n\nNo place is safe, as [DECEA3]Zombies[-] inhabit all biomes, with [DECEA3]Downtown[-] and [DECEA3]Commercial[-] areas hosting the highest concentrations, while other areas may be less populated. \n\nKill a lot of [DECEA3]Zombies[-]."
challengeKillSoldiers,Kill Soldier Zombies
challengeKillSoldiersShort,Kill some Soldier Zombies.
challengeKillSoldiersDesc,"[DECEA3]Soldier Zombies[-] are battle hardened undead with increased pain tolerance and heavy duty kevlar helmets, aiming for the head may not be the best choice to take them down.\n\nKill some [DECEA3]Soldier Zombies[-]."
challengeKillRobots,Kill Any Robot
challengeKillRobotsShort,Kill lots of Robots.
challengeKillRobotsDesc,"[DECEA3]Robots[-] are a constant threat to your day-to-day survival.\n\nNot only a direct danger, they can destroy [DECEA3]Blocks[-] and cause you to become [4EE44E]Irradiated[-].\n\nAs your [DECEA3]Gamestage[-] increases, stronger, faster, and more challenging [DECEA3]Robots[-] will appear.\n\nNo place is safe, as [DECEA3]Robots[-] patrol all biomes, with [DECEA3]Downtown[-] and [DECEA3]Commercial[-] areas hosting the highest concentrations, while other areas may be less populated. \n\nKill a lot of [DECEA3]Robots[-]."
challengeKillOverchargedRobots,Kill Overcharged Robots
challengeKillOverchargedRobotsShort,Kill some Overcharged Robots
challengeKillOverchargedRobotsDesc,"[DECEA3]Overcharged Robots[-] run during the day, hit harder and take more damage than regular robots. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Overcharged Robots[-]."
challengeKillRadiatedRobots,Kill Radiated Robots
challengeKillRadiatedRobotsShort,Kill some Radiated Robots
challengeKillRadiatedRobotsDesc,"[DECEA3]Radiated Robots[-] regenerate their health and deal AOE radiation causing nearby targets to become [4EE44E]Irradiated[-]. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Radiated Robots[-]."
challengeKillInfernoRobots,Kill Inferno Robots
challengeKillInfernoRobotsShort,Kill some Inferno Robots
challengeKillInfernoRobotsDesc,"[DECEA3]Inferno Robots[-] are tough, run during the day, and have a chance to set the target on [FFA500]Fire[-] with each hit. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Inferno Robots[-]."
challengeKillShockerRobots,Kill Shocker Robots
challengeKillShockerRobotsShort,Kill some Shocker Robots
challengeKillShockerRobotsDesc,"[DECEA3]Shocker Robots[-] are very tough, run during the day, and have a chance to [33CCFF]Electrocute[-] the target with each hit. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Shocker Robots[-]."
challengeKillRobotDogs,Kill Robot Dogs
challengeKillRobotDogsShort,Kill some Robot Dogs
challengeKillRobotDogsDesc,"[DECEA3]Robot Dogs[-] are tough and fast, making them difficult to kill. Beware some versions may shoot back. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Robot Dogs[-]."
challengeKillSpiderBots,Kill Spider Bots
challengeKillSpiderBotsShort,Kill some Spider Bots
challengeKillSpiderBotsDesc,"[DECEA3]Spider Bots[-] are weak but very fast and jump at the target from a distance. \n\nThey salvage for a small amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], and [DECEA3]Nano Chips[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Spider Bots[-]."
challengeKillDrones,Kill Drones
challengeKillDronesShort,Kill some Drones
challengeKillDronesDesc,"[DECEA3]Drones[-] scan the skies and stay hidden in plain sight, making them difficult to spot. Beware some versions may shoot back. \n\nThey self destruct in a critical state to protect the sensitive data they collect from falling into the wrong hands.\n\nKill some [DECEA3]Drones[-]."
challengeKillDroids,Kill Droids
challengeKillDroidsShort,Kill some Droids
challengeKillDroidsDesc,"[DECEA3]Droids[-] are heavy duty battle bots that patrol the streets of the wastes. Beware some versions may self destruct if you get too close. \n\nThey salvage for a moderate amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], [DECEA3]Nano Chips[-], [DECEA3]Forged Steel[-], and [DECEA3]Forged Cobalt[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Droids[-]."
challengeKillMechs,Kill Mechs
challengeKillMechsShort,Kill some Mechs
challengeKillMechsDesc,"[DECEA3]Mechs[-] are the toughest and most brutal machines in the wastelands and were designed for mass eradication. Beware most versions are equipped with deadly plasma cannons and will shoot on sight. \n\nThey salvage for a large amount of [DECEA3]Electrical Parts[-], [DECEA3]Mechanical Parts[-], [DECEA3]Springs[-], [DECEA3]Nano Chips[-], [DECEA3]Forged Steel[-], and [DECEA3]Forged Cobalt[-] along with various other precious metals when disassembled.\n\nKill some [DECEA3]Mechs[-]."
challengeOpenStarterCapsule,Open Starter Capsule
challengeOpenStarterCapsuleShort,Open the Starter Capsule.
challengeOpenStarterCapsuleDesc,"The [DECEA3]Starter Capsule[-] will give you essential items for survival. You will need the [DECEA3]Wrench[-] it provides to harvest resources so you can build workstations to aid your survival.\n\nBasic [DECEA3]Food[-], [DECEA3]Water[-], and [DECEA3]Medical Supplies[-] are provided to help you survive the first few days.\n\nA basic [DECEA3]Flashlight[-] is also provided to help navigate dark areas."
challengeReadForgeAheadMagazine,Read Forge Ahead Magazine
challengeReadForgeAheadMagazineShort,Read a Forge Ahead magazine.
challengeReadForgeAheadMagazineDesc,"[DECEA3]Crafting Skill Magazines[-] come in a wide range of topics. Reading them will increase your [DECEA3]Crafting Skill[-] which increases the [DECEA3]Quality[-] and/or [DECEA3]Technology Tier[-] of the item being crafted.\n\nReading the first [DECEA3]Forge Ahead[-] magazine will unlock essential workstations you will need to produce [DECEA3]Food[-] and [DECEA3]Clean Water[-].\n\n[DECEA3]Crafting Skill Magazines[-] can be found in various loot containers such as [DECEA3]Mailboxes[-], for sale at [DECEA3]Traders[-], or given as a [DECEA3]Quest Reward[-]."
challengeGatherResourcesFabricator,Gather Fabricator Resources 
challengeGatherResourcesFabricatorShort,Gather resources to craft a Fabricator
challengeGatherResourcesFabricatorDesc,"The resources you will need are [DECEA3]Iron[-], [DECEA3]Scrap Polymers[-], [DECEA3]Duct Tape[-], [DECEA3]Nano Chips[-], and [DECEA3]Electrical Parts[-].\n\nMany of these can be salvaged from [DECEA3]Deactivated Robots[-] or [DECEA3]High-tech Vehicles[-].\n\n[DECEA3]Scrap Polymers[-] can be harvested from cardboard boxes and window blinds. [DECEA3]Duct Tape[-] can be crafted or found in loot."
challengePlaceFabricator,Place Fabricator
challengePlaceFabricatorShort,Craft and Place the Fabricator on the ground.
challengePlaceFabricatorDesc,"[DECEA3]Fabricators[-] are used to craft [DECEA3]Raw Meat[-], [DECEA3]Eggs[-], [DECEA3]Animal Fat[-] and other advanced recipes.\n\nTo craft a recipe at the [DECEA3]Fabricator[-], crafting materials must be in your [DECEA3]Inventory[-].\n\nHold [action:local:Activate][action:permanent:Activate] to pick up Workstations within your [DECEA3]Land Claim[-] area."
challengeCraftRawMeat,Synthesize Raw Meat
challengeCraftRawMeatShort,Synthesize some Raw Meat.
challengeCraftRawMeatDesc,"Use the [DECEA3]Fabricator[-] to synthesize some [DECEA3]Raw Meat[-].\n\n[DECEA3]Plant Fibers[-] and [DECEA3]Scrap Polymers[-] are the required ingredients.\n\n[DECEA3]Raw Meat[-] can be used in various cooking recipes."
challengeCraftEggs,Synthesize Eggs
challengeCraftEggsShort,Synthesize some Eggs.
challengeCraftEggsDesc,"Use the [DECEA3]Fabricator[-] to synthesize some [DECEA3]Eggs[-].\n\n[DECEA3]Plant Fibers[-], [DECEA3]Scrap Polymers[-] and [DECEA3]Boiled Water[-] are the required ingredients.\n\n[DECEA3]Eggs[-] can be used in various cooking recipes."
challengeCraftLeather,Synthesize Leather
challengeCraftLeatherShort,Synthesize some Leather.
challengeCraftLeatherDesc,"Use the [DECEA3]Fabricator[-] to synthesize some [DECEA3]Leather[-].\n\n[DECEA3]Scrap Polymers[-] and [DECEA3]Glue[-] are the required ingredients.\n\n[DECEA3]Leather[-] can be used to make [DECEA3]Armor[-] and various other recipes."
challengeCraftBones,Synthesize Bone
challengeCraftBonesShort,Synthesize some Bones.
challengeCraftBonesDesc,"Use the [DECEA3]Fabricator[-] to synthesize some [DECEA3]Bones[-].\n\n[DECEA3]Scrap Polymers[-], [DECEA3]Iron[-], and [DECEA3]Broken Glass[-] are the required ingredients.\n\n[DECEA3]Bones[-] can be used to make [DECEA3]Glue[-] and some other recipes."
challengeGroupCompleteShort,Redeem all the rewards earned by completing challenges in the Basics group.
challengeGroupCompleteDesc,"After successfully completing every [DECEA3]Challenge[-] within the [DECEA3]Basics[-] category, it's time to claim your well-earned [DECEA3]Rewards[-].\n\nSelect each completed [DECEA3]Challenge[-] marked [00FF00]GREEN[-] and press the [DECEA3]Redeem[-] button below or use [action:local:Forward].\n\n[DECEA3]Redeeming[-] all of the [DECEA3]Challenges[-] in each group will award you with a [DECEA3]Group Completion Reward[-].\n\nThe [DECEA3]Advanced Challenges[-] will unlock after [DECEA3]Redeeming[-] this challenge."
challengeGroupCompleteDesc_alt,"After successfully completing every challenge within the Basics category, it's time to claim your well-earned rewards.\n\nSelect each completed challenge marked [00FF00]GREEN[-] and click the Redeem button below or use the shortcut [action:gui:GUI Inspect].\n\nRedeeming all of the challenges in each group will award you with a group completion reward.\n\nThe Advanced Challenges will unlock after Redeeming this reward."
challengeGroupCompleteHint2,[FFB400]Redeem all challenges in the\nBasics group.[-]
challengeRedeemChallenge,Introduction Challenge
challengeRedeemChallengeShort,Redeem this introduction challenge.
challengeRedeemChallengeDesc,"[DECEA3]Challenges[-] aim to introduce you to the core gameplay systems.\n\nReview each [DECEA3]Challenge[-] description to understand your objectives and know where to find crucial information to help you survive.\n\nA [DECEA3]Challenge[-] can be tracked by selecting it and pressing [action:gui:GUI Action Left].\n\nOnce a [DECEA3]Challenge[-] has been completed, return to this window to [DECEA3]Redeem[-] your reward by selecting it and pressing [action:gui:GUI Action Up]. [DECEA3]Redeeming[-] all of the [DECEA3]Challenges[-] in each row will grant you a [DECEA3]Special Reward[-].\n\nThe [DECEA3]Trader Quest[-] will start after [DECEA3]Redeeming[-] this challenge."

perkPerceptionMasteryName,Empath Mastery
perkStrengthMasteryName,Astrominer Mastery
perkFortitudeMasteryName,Exomedic Mastery
perkAgilityMasteryName,Neonaut Mastery
perkIntellectMasteryName,Cybernetician Mastery

perkSteadyAimName,Steady Aim
perkSteadyAimDesc,"Mental discipline grants enhanced weapon control, reducing sway and recoil."
perkSteadyAimRank1Desc,Slightly reduced weapon spread and recoil when aiming.
perkSteadyAimRank1LongDesc,"Your focused mind begins to steady your hands. Weapon spread when aiming is reduced by 5%, and recoil is reduced by 5%."
perkSteadyAimRank2Desc,Reduced weapon spread and recoil when aiming.
perkSteadyAimRank2LongDesc,"Your concentration deepens. Weapon spread when aiming is reduced by 10%, and recoil is reduced by 10%."
perkSteadyAimRank3Desc,Moderately reduced weapon spread and recoil when aiming.
perkSteadyAimRank3LongDesc,"Your breathing becomes controlled. Weapon spread when aiming is reduced by 15%, and recoil is reduced by 15%."
perkSteadyAimRank4Desc,Significantly reduced weapon spread and recoil when aiming.
perkSteadyAimRank4LongDesc,"Your aim becomes remarkably stable. Weapon spread when aiming is reduced by 20%, and recoil is reduced by 20%."
perkSteadyAimRank5Desc,Greatly reduced weapon spread and recoil when aiming.
perkSteadyAimRank5LongDesc,"Your mental discipline is complete. Weapon spread when aiming is reduced by 25%, and recoil is reduced by 25%."

perkMentalFortitudeName,Mental Fortitude
perkMentalFortitudeDesc,"A strong mind resists negative effects, reducing the impact of debuffs."
perkMentalFortitudeRank1Desc,Slightly increased resistance to debuffs.
perkMentalFortitudeRank1LongDesc,"Your mental resilience begins to develop. Debuff effects are reduced by 10%."
perkMentalFortitudeRank2Desc,Moderately increased resistance to debuffs.
perkMentalFortitudeRank2LongDesc,"Your willpower strengthens. Debuff effects are reduced by 20%."
perkMentalFortitudeRank3Desc,Greatly increased resistance to debuffs.
perkMentalFortitudeRank3LongDesc,"Your mind is an unbreakable fortress. Debuff effects are reduced by 30%."

perkFocusedFireName,Focused Fire
perkFocusedFireDesc,"Precision targeting increases damage when striking vital areas, rewarding careful aim."
perkFocusedFireRank1Desc,Slightly increased headshot damage.
perkFocusedFireRank1LongDesc,"Your aim improves for critical strikes. Headshot damage is increased by 10%."
perkFocusedFireRank2Desc,Increased headshot damage.
perkFocusedFireRank2LongDesc,"Your precision grows sharper. Headshot damage is increased by 20%."
perkFocusedFireRank3Desc,Moderately increased headshot damage.
perkFocusedFireRank3LongDesc,"Every shot finds its mark. Headshot damage is increased by 30%."
perkFocusedFireRank4Desc,Significantly increased headshot damage.
perkFocusedFireRank4LongDesc,"Your deadly accuracy is renowned. Headshot damage is increased by 40%."
perkFocusedFireRank5Desc,Greatly increased headshot damage.
perkFocusedFireRank5LongDesc,"One shot, one kill. Headshot damage is increased by 50%."

perkReinforcedConstructionName,Reinforced Construction
perkReinforcedConstructionDesc,"Engineering expertise creates more durable equipment, extending the life of your gear."
perkReinforcedConstructionRank1Desc,Items have slightly increased durability and degrade slower.
perkReinforcedConstructionRank1LongDesc,"Your construction techniques improve. Max durability is increased by 10%, and degradation per use is reduced by 5%."
perkReinforcedConstructionRank2Desc,Items have increased durability and degrade slower.
perkReinforcedConstructionRank2LongDesc,"Your engineering skills develop. Max durability is increased by 20%, and degradation per use is reduced by 10%."
perkReinforcedConstructionRank3Desc,Items have moderately increased durability and degrade slower.
perkReinforcedConstructionRank3LongDesc,"Quality construction becomes second nature. Max durability is increased by 30%, and degradation per use is reduced by 15%."
perkReinforcedConstructionRank4Desc,Items have significantly increased durability and degrade slower.
perkReinforcedConstructionRank4LongDesc,"Your work is built to last. Max durability is increased by 40%, and degradation per use is reduced by 20%."
perkReinforcedConstructionRank5Desc,Items have greatly increased durability and degrade slower.
perkReinforcedConstructionRank5LongDesc,"Your creations are legendary for their resilience. Max durability is increased by 50%, and degradation per use is reduced by 25%."

perkEfficientRepairsName,Efficient Repairs
perkEfficientRepairsDesc,"Technical knowledge allows repair kits to restore more durability, keeping equipment in peak condition."
perkEfficientRepairsRank1Desc,Repair kits restore more durability and repairs are faster.
perkEfficientRepairsRank1LongDesc,"Your repair techniques improve. Repair amount is increased by 20%, and repair time is reduced by 10%."
perkEfficientRepairsRank2Desc,Repair kits restore significantly more durability and repairs are faster.
perkEfficientRepairsRank2LongDesc,"Your mechanical skills grow. Repair amount is increased by 40%, and repair time is reduced by 20%."
perkEfficientRepairsRank3Desc,Repair kits restore much more durability and repairs are significantly faster.
perkEfficientRepairsRank3LongDesc,"You can fix anything. Repair amount is increased by 60%, and repair time is reduced by 30%."

perkAmmoFabricatorName,Ammo Fabricator
perkAmmoFabricatorDesc,"Advanced manufacturing techniques yield bonus ammunition when crafting, stretching your resources further."
perkAmmoFabricatorRank1Desc,Craft slightly more ammo per batch.
perkAmmoFabricatorRank1LongDesc,"Your ammunition production improves. Ammo crafting output is increased by 10%."
perkAmmoFabricatorRank2Desc,Craft more ammo per batch.
perkAmmoFabricatorRank2LongDesc,"Your fabrication techniques develop. Ammo crafting output is increased by 20%."
perkAmmoFabricatorRank3Desc,Craft moderately more ammo per batch.
perkAmmoFabricatorRank3LongDesc,"Your production line is efficient. Ammo crafting output is increased by 30%."
perkAmmoFabricatorRank4Desc,Craft significantly more ammo per batch.
perkAmmoFabricatorRank4LongDesc,"Your ammo production is highly efficient. Ammo crafting output is increased by 40%."
perkAmmoFabricatorRank5Desc,Craft much more ammo per batch.
perkAmmoFabricatorRank5LongDesc,"Maximum production efficiency achieved. Ammo crafting output is increased by 50%."

perkOverchargeName,Overcharge
perkOverchargeDesc,"Push electrical weapons beyond their limits, dealing increased damage with stun batons and electrical devices."
perkOverchargeRank1Desc,Stun batons deal slightly increased damage.
perkOverchargeRank1LongDesc,"You learn to boost electrical output. Stun baton damage is increased by 10%."
perkOverchargeRank2Desc,Stun batons deal increased damage.
perkOverchargeRank2LongDesc,"Your electrical expertise grows. Stun baton damage is increased by 20%."
perkOverchargeRank3Desc,Stun batons deal moderately increased damage.
perkOverchargeRank3LongDesc,"You push the voltage higher. Stun baton damage is increased by 30%."
perkOverchargeRank4Desc,Stun batons deal significantly increased damage.
perkOverchargeRank4LongDesc,"Your overcharge techniques are dangerous. Stun baton damage is increased by 40%."
perkOverchargeRank5Desc,Stun batons deal greatly increased damage.
perkOverchargeRank5LongDesc,"Maximum power output achieved. Stun baton damage is increased by 50%."

perkFuelEfficiencyName,Fuel Efficiency
perkFuelEfficiencyDesc,"Mechanical expertise reduces vehicle fuel consumption, letting you travel further on less fuel."
perkFuelEfficiencyRank1Desc,Vehicles consume slightly less fuel.
perkFuelEfficiencyRank1LongDesc,"Your driving becomes more economical. Vehicle fuel consumption is reduced by 10%."
perkFuelEfficiencyRank2Desc,Vehicles consume less fuel.
perkFuelEfficiencyRank2LongDesc,"Your mechanical tuning improves efficiency. Vehicle fuel consumption is reduced by 20%."
perkFuelEfficiencyRank3Desc,Vehicles consume much less fuel.
perkFuelEfficiencyRank3LongDesc,"Your vehicles are remarkably efficient. Vehicle fuel consumption is reduced by 30%."

perkArmoredPlatingName,Armored Plating
perkArmoredPlatingDesc,"Reinforce your vehicles against damage, reducing wear and tear from collisions and combat."
perkArmoredPlatingRank1Desc,Vehicles take slightly less damage.
perkArmoredPlatingRank1LongDesc,"Basic reinforcement reduces damage. Vehicle self-damage is reduced by 10%."
perkArmoredPlatingRank2Desc,Vehicles take less damage.
perkArmoredPlatingRank2LongDesc,"Improved plating protects your ride. Vehicle self-damage is reduced by 20%."
perkArmoredPlatingRank3Desc,Vehicles take moderately less damage.
perkArmoredPlatingRank3LongDesc,"Solid armor keeps you rolling. Vehicle self-damage is reduced by 30%."
perkArmoredPlatingRank4Desc,Vehicles take significantly less damage.
perkArmoredPlatingRank4LongDesc,"Heavy reinforcement makes your vehicle tough. Vehicle self-damage is reduced by 40%."
perkArmoredPlatingRank5Desc,Vehicles take much less damage.
perkArmoredPlatingRank5LongDesc,"Your vehicle is a fortress on wheels. Vehicle self-damage is reduced by 50%."

perkScrapYieldName,Scrap Yield
perkScrapYieldDesc,"Expert salvaging techniques extract more resources when dismantling objects with tools."
perkScrapYieldRank1Desc,Slightly increased salvage resources.
perkScrapYieldRank1LongDesc,"Your salvaging improves. Harvest count when salvaging is increased by 10%."
perkScrapYieldRank2Desc,Increased salvage resources.
perkScrapYieldRank2LongDesc,"Nothing goes to waste. Harvest count when salvaging is increased by 20%."
perkScrapYieldRank3Desc,Moderately increased salvage resources.
perkScrapYieldRank3LongDesc,"You find value in everything. Harvest count when salvaging is increased by 30%."
perkScrapYieldRank4Desc,Significantly increased salvage resources.
perkScrapYieldRank4LongDesc,"Master scrapper at work. Harvest count when salvaging is increased by 40%."
perkScrapYieldRank5Desc,Greatly increased salvage resources.
perkScrapYieldRank5LongDesc,"Every scrap is precious. Harvest count when salvaging is increased by 50%."

perkQuickHandsName,Quick Hands
perkQuickHandsDesc,"Dexterity and practice result in faster weapon handling, improving reload speed and readiness."
perkQuickHandsRank1Desc,Slightly faster reload and weapon handling with shotguns and clubs.
perkQuickHandsRank1LongDesc,"Your hands move quicker. Reload speed and weapon handling for shotguns and clubs is increased by 10%."
perkQuickHandsRank2Desc,Faster reload and weapon handling with shotguns and clubs.
perkQuickHandsRank2LongDesc,"Your reflexes sharpen. Reload speed and weapon handling for shotguns and clubs is increased by 20%."
perkQuickHandsRank3Desc,Much faster reload and weapon handling with shotguns and clubs.
perkQuickHandsRank3LongDesc,"Lightning-fast reflexes. Reload speed and weapon handling for shotguns and clubs is increased by 30%."

perkCosmotechMasteryName,Cosmotech Mastery
perkCosmotechMasteryDesc,"Master the art of salvage and resourcefulness. Enhanced scavenging yields, devastating close-range combat, and superior vehicle handling."
perkCosmotechMasteryRank1Desc,Increased salvage yields and improved vehicle fuel efficiency.
perkCosmotechMasteryRank1LongDesc,"Your scavenging expertise grows. Salvage yields are increased by 25% and vehicle fuel consumption is reduced by 5%."
perkCosmotechMasteryRank2Desc,Shotgun blasts have a chance to stagger enemies.
perkCosmotechMasteryRank2LongDesc,"Your shotgun blasts carry devastating force. 15% chance to knock down enemies with shotgun hits. Vehicle fuel consumption reduced by 10%."
perkCosmotechMasteryRank3Desc,Bonus mechanical parts when salvaging.
